Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : roof , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : rain , snow , hail . And the other : snow , rain , hail .
Before the meeting , Mary wrote down the following lists of words . One was : tornado , rain , snow . And the other : snow , tornado , rain .
Before the meeting , Mary wrote down the following lists of words . One was : oxygen , hydrogen , nitrogen . And the other : oxygen , hydrogen , nitrogen .
Before the meeting , Mary wrote down the following lists of words . One was : potassium , oxygen , hydrogen . And the other : potassium , hydrogen , oxygen .
Before the meeting , Mary wrote down the following lists of words . One was : calcium , potassium , oxygen . And the other : potassium , oxygen , calcium .
Before the meeting , Mary wrote down the following lists of words . One was : chlorine , calcium , potassium . And the other : potassium , calcium , chlorine .
Before the meeting , Mary wrote down the following lists of words . One was : helium , chlorine , calcium . And the other : calcium , helium , chlorine .
Before the meeting , Mary wrote down the following lists of words . One was : sulphur , helium , chlorine . And the other : chlorine , helium , sulphur .
Before the meeting , Mary wrote down the following lists of words . One was : sodium , sulphur , helium . And the other : sulphur , helium , sodium .
Before the meeting , Mary wrote down the following lists of words . One was : carbon , sodium , sulphur . And the other : sulphur , carbon , sodium .
Before the meeting , Mary wrote down the following lists of words . One was : nitrogen , carbon , sodium . And the other : carbon , sodium , nitrogen .
Before the meeting , Mary wrote down the following lists of words . One was : hydrogen , nitrogen , carbon . And the other : carbon , nitrogen , hydrogen .
Before the meeting , Mary wrote down the following lists of words . One was : chemistry , physics , psychology . And the other : physics , psychology , chemistry .
Before the meeting , Mary wrote down the following lists of words . One was : microbiology , chemistry , physics . And the other : chemistry , physics , microbiology .
Before the meeting , Mary wrote down the following lists of words . One was : geology , microbiology , chemistry . And the other : chemistry , microbiology , geology .
Before the meeting , Mary wrote down the following lists of words . One was : mathematics , geology , microbiology . And the other : microbiology , geology , mathematics .
Before the meeting , Mary wrote down the following lists of words . One was : astronomy , mathematics , geology . And the other : astronomy , geology , mathematics .
Before the meeting , Mary wrote down the following lists of words . One was : botany , astronomy , mathematics . And the other : astronomy , botany , mathematics .
Before the meeting , Mary wrote down the following lists of words . One was : zoology , botany , astronomy . And the other : botany , astronomy , zoology .
Before the meeting , Mary wrote down the following lists of words . One was : biology , zoology , botany . And the other : biology , zoology , botany .
Before the meeting , Mary wrote down the following lists of words . One was : psychology , biology , zoology . And the other : zoology , psychology , biology .
Before the meeting , Mary wrote down the following lists of words . One was : physics , psychology , biology . And the other : physics , psychology , biology .
Before the meeting , Mary wrote down the following lists of words . One was : piano , drum , trumpet . And the other : piano , trumpet , drum .
Before the meeting , Mary wrote down the following lists of words . One was : oboe , piano , drum . And the other : oboe , drum , piano .
Before the meeting , Mary wrote down the following lists of words . One was : trombone , oboe , piano . And the other : piano , oboe , trombone .
Before the meeting , Mary wrote down the following lists of words . One was : saxophone , trombone , oboe . And the other : trombone , oboe , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : guitar , saxophone , trombone . And the other : guitar , trombone , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : flute , guitar , saxophone . And the other : flute , saxophone , guitar .
Before the meeting , Mary wrote down the following lists of words . One was : clarinet , flute , guitar . And the other : clarinet , guitar , flute .
Before the meeting , Mary wrote down the following lists of words . One was : violin , clarinet , flute . And the other : flute , clarinet , violin .
Before the meeting , Mary wrote down the following lists of words . One was : trumpet , violin , clarinet . And the other : trumpet , clarinet , violin .
Before the meeting , Mary wrote down the following lists of words . One was : drum , trumpet , violin . And the other : violin , drum , trumpet .
Before the meeting , Mary wrote down the following lists of words . One was : knife , spoon , fork . And the other : knife , fork , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : dish , knife , spoon . And the other : knife , spoon , dish .
Before the meeting , Mary wrote down the following lists of words . One was : cup , dish , knife . And the other : knife , dish , cup .
Before the meeting , Mary wrote down the following lists of words . One was : mixer , cup , dish . And the other : cup , dish , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : bowl , mixer , cup . And the other : bowl , cup , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : stove , bowl , mixer . And the other : stove , bowl , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : pot , stove , bowl . And the other : bowl , pot , stove .
Before the meeting , Mary wrote down the following lists of words . One was : pan , pot , stove . And the other : pot , stove , pan .
Before the meeting , Mary wrote down the following lists of words . One was : fork , pan , pot . And the other : pot , pan , fork .
Before the meeting , Mary wrote down the following lists of words . One was : spoon , fork , pan . And the other : fork , pan , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : trout , shark , herring . And the other : shark , trout , herring .
Before the meeting , Mary wrote down the following lists of words . One was : pike , trout , shark . And the other : shark , pike , trout .
Before the meeting , Mary wrote down the following lists of words . One was : carp , pike , trout . And the other : trout , carp , pike .
Before the meeting , Mary wrote down the following lists of words . One was : cod , carp , pike . And the other : pike , cod , carp .
Before the meeting , Mary wrote down the following lists of words . One was : goldfish , cod , carp . And the other : carp , goldfish , cod .
Before the meeting , Mary wrote down the following lists of words . One was : tuna , goldfish , cod . And the other : cod , tuna , goldfish .
Before the meeting , Mary wrote down the following lists of words . One was : salmon , tuna , goldfish . And the other : goldfish , salmon , tuna .
Before the meeting , Mary wrote down the following lists of words . One was : perch , salmon , tuna . And the other : perch , tuna , salmon .
Before the meeting , Mary wrote down the following lists of words . One was : herring , perch , salmon . And the other : herring , perch , salmon .
Before the meeting , Mary wrote down the following lists of words . One was : shark , herring , perch . And the other : shark , herring , perch .
Before the meeting , Mary wrote down the following lists of words . One was : football , baseball , basketball . And the other : football , basketball , baseball .
Before the meeting , Mary wrote down the following lists of words . One was : badminton , football , baseball . And the other : football , badminton , baseball .
Before the meeting , Mary wrote down the following lists of words . One was : lacrosse , badminton , football . And the other : lacrosse , badminton , football .
Before the meeting , Mary wrote down the following lists of words . One was : hockey , lacrosse , badminton . And the other : badminton , hockey , lacrosse .
Before the meeting , Mary wrote down the following lists of words . One was : golf , hockey , lacrosse . And the other : golf , hockey , lacrosse .
Before the meeting , Mary wrote down the following lists of words . One was : soccer , golf , hockey . And the other : soccer , hockey , golf .
Before the meeting , Mary wrote down the following lists of words . One was : swimming , soccer , golf . And the other : soccer , golf , swimming .
Before the meeting , Mary wrote down the following lists of words . One was : tennis , swimming , soccer . And the other : tennis , soccer , swimming .
Before the meeting , Mary wrote down the following lists of words . One was : basketball , tennis , swimming . And the other : tennis , basketball , swimming .
Before the meeting , Mary wrote down the following lists of words . One was : baseball , basketball , tennis . And the other : basketball , tennis , baseball .
Before the meeting , Mary wrote down the following lists of words . One was : doctor , lawyer , teacher . And the other : teacher , doctor , lawyer .
Before the meeting , Mary wrote down the following lists of words . One was : psychologist , doctor , lawyer . And the other : psychologist , doctor , lawyer .
Before the meeting , Mary wrote down the following lists of words . One was : nurse , psychologist , doctor . And the other : nurse , psychologist , doctor .
Before the meeting , Mary wrote down the following lists of words . One was : salesman , nurse , psychologist . And the other : salesman , psychologist , nurse .
Before the meeting , Mary wrote down the following lists of words . One was : carpenter , salesman , nurse . And the other : salesman , carpenter , nurse .
Before the meeting , Mary wrote down the following lists of words . One was : professor , carpenter , salesman . And the other : professor , carpenter , salesman .
Before the meeting , Mary wrote down the following lists of words . One was : engineer , professor , carpenter . And the other : engineer , carpenter , professor .
Before the meeting , Mary wrote down the following lists of words . One was : dentist , engineer , professor . And the other : engineer , dentist , professor .
Before the meeting , Mary wrote down the following lists of words . One was : teacher , dentist , engineer . And the other : dentist , engineer , teacher .
Before the meeting , Mary wrote down the following lists of words . One was : lawyer , teacher , dentist . And the other : teacher , lawyer , dentist .
Before the meeting , Mary wrote down the following lists of words . One was : oak , maple , pine . And the other : pine , maple , oak .
Before the meeting , Mary wrote down the following lists of words . One was : hickory , oak , maple . And the other : maple , hickory , oak .
Before the meeting , Mary wrote down the following lists of words . One was : fir , hickory , oak . And the other : fir , oak , hickory .
Before the meeting , Mary wrote down the following lists of words . One was : walnut , fir , hickory . And the other : fir , walnut , hickory .
Before the meeting , Mary wrote down the following lists of words . One was : redwood , walnut , fir . And the other : redwood , walnut , fir .
Before the meeting , Mary wrote down the following lists of words . One was : spruce , redwood , walnut . And the other : walnut , spruce , redwood .
Before the meeting , Mary wrote down the following lists of words . One was : birch , spruce , redwood . And the other : spruce , birch , redwood .
Before the meeting , Mary wrote down the following lists of words . One was : elm , birch , spruce . And the other : spruce , elm , birch .
Before the meeting , Mary wrote down the following lists of words . One was : pine , elm , birch . And the other : birch , elm , pine .
Before the meeting , Mary wrote down the following lists of words . One was : maple , pine , elm . And the other : elm , pine , maple .
Before the meeting , Mary wrote down the following lists of words . One was : shirt , socks , pants . And the other : pants , shirt , socks .
Before the meeting , Mary wrote down the following lists of words . One was : sweater , shirt , socks . And the other : shirt , socks , sweater .
Before the meeting , Mary wrote down the following lists of words . One was : hat , sweater , shirt . And the other : hat , shirt , sweater .
Before the meeting , Mary wrote down the following lists of words . One was : dress , hat , sweater . And the other : dress , hat , sweater .
Before the meeting , Mary wrote down the following lists of words . One was : coat , dress , hat . And the other : dress , hat , coat .
Before the meeting , Mary wrote down the following lists of words . One was : skirt , coat , dress . And the other : dress , skirt , coat .
Before the meeting , Mary wrote down the following lists of words . One was : blouse , skirt , coat . And the other : blouse , coat , skirt .
Before the meeting , Mary wrote down the following lists of words . One was : shoes , blouse , skirt . And the other : shoes , skirt , blouse .
Before the meeting , Mary wrote down the following lists of words . One was : pants , shoes , blouse . And the other : shoes , pants , blouse .
Before the meeting , Mary wrote down the following lists of words . One was : socks , pants , shoes . And the other : shoes , socks , pants .
Before the meeting , Mary wrote down the following lists of words . One was : cancer , measles , tuberculosis . And the other : measles , cancer , tuberculosis .
Before the meeting , Mary wrote down the following lists of words . One was : encephalitis , cancer , measles . And the other : cancer , encephalitis , measles .
Before the meeting , Mary wrote down the following lists of words . One was : influenza , encephalitis , cancer . And the other : influenza , cancer , encephalitis .
Before the meeting , Mary wrote down the following lists of words . One was : smallpox , influenza , encephalitis . And the other : smallpox , encephalitis , influenza .
Before the meeting , Mary wrote down the following lists of words . One was : pneumonia , smallpox , influenza . And the other : pneumonia , influenza , smallpox .
Before the meeting , Mary wrote down the following lists of words . One was : leukemia , pneumonia , smallpox . And the other : leukemia , smallpox , pneumonia .
Before the meeting , Mary wrote down the following lists of words . One was : malaria , leukemia , pneumonia . And the other : leukemia , pneumonia , malaria .
Before the meeting , Mary wrote down the following lists of words . One was : polio , malaria , leukemia . And the other : leukemia , polio , malaria .
Before the meeting , Mary wrote down the following lists of words . One was : tuberculosis , polio , malaria . And the other : tuberculosis , malaria , polio .
Before the meeting , Mary wrote down the following lists of words . One was : measles , tuberculosis , polio . And the other : tuberculosis , measles , polio .
Before the meeting , Mary wrote down the following lists of words . One was : mountain , hill , valley . And the other : valley , mountain , hill .
Before the meeting , Mary wrote down the following lists of words . One was : cave , mountain , hill . And the other : hill , mountain , cave .
Before the meeting , Mary wrote down the following lists of words . One was : ocean , cave , mountain . And the other : cave , mountain , ocean .
Before the meeting , Mary wrote down the following lists of words . One was : tundra , ocean , cave . And the other : cave , ocean , tundra .
Before the meeting , Mary wrote down the following lists of words . One was : canyon , tundra , ocean . And the other : canyon , ocean , tundra .
Before the meeting , Mary wrote down the following lists of words . One was : lake , canyon , tundra . And the other : lake , canyon , tundra .
Before the meeting , Mary wrote down the following lists of words . One was : rock , lake , canyon . And the other : rock , canyon , lake .
Before the meeting , Mary wrote down the following lists of words . One was : river , rock , lake . And the other : river , rock , lake .
Before the meeting , Mary wrote down the following lists of words . One was : valley , river , rock . And the other : river , valley , rock .
Before the meeting , Mary wrote down the following lists of words . One was : hill , valley , river . And the other : hill , river , valley .
Before the meeting , Mary wrote down the following lists of words . One was : murder , rape , robbery . And the other : rape , murder , robbery .
Before the meeting , Mary wrote down the following lists of words . One was : battery , murder , rape . And the other : rape , murder , battery .
Before the meeting , Mary wrote down the following lists of words . One was : adultery , battery , murder . And the other : adultery , battery , murder .
Before the meeting , Mary wrote down the following lists of words . One was : larceny , adultery , battery . And the other : larceny , battery , adultery .
Before the meeting , Mary wrote down the following lists of words . One was : kidnapping , larceny , adultery . And the other : kidnapping , adultery , larceny .
Before the meeting , Mary wrote down the following lists of words . One was : arson , kidnapping , larceny . And the other : larceny , arson , kidnapping .
Before the meeting , Mary wrote down the following lists of words . One was : assault , arson , kidnapping . And the other : arson , kidnapping , assault .
Before the meeting , Mary wrote down the following lists of words . One was : theft , assault , arson . And the other : assault , arson , theft .
Before the meeting , Mary wrote down the following lists of words . One was : robbery , theft , assault . And the other : assault , robbery , theft .
Before the meeting , Mary wrote down the following lists of words . One was : rape , robbery , theft . And the other : robbery , theft , rape .
Before the meeting , Mary wrote down the following lists of words . One was : log , cat , horse . And the other : cat , horse , log .
Before the meeting , Mary wrote down the following lists of words . One was : mouse , log , cat . And the other : log , cat , mouse .
Before the meeting , Mary wrote down the following lists of words . One was : bear , mouse , log . And the other : log , mouse , bear .
Before the meeting , Mary wrote down the following lists of words . One was : pig , bear , mouse . And the other : pig , bear , mouse .
Before the meeting , Mary wrote down the following lists of words . One was : elephant , pig , bear . And the other : bear , pig , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : tiger , elephant , pig . And the other : tiger , elephant , pig .
Before the meeting , Mary wrote down the following lists of words . One was : lion , tiger , elephant . And the other : tiger , lion , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : cow , lion , tiger . And the other : tiger , lion , cow .
Before the meeting , Mary wrote down the following lists of words . One was : horse , cow , lion . And the other : cow , lion , horse .
Before the meeting , Mary wrote down the following lists of words . One was : cat , horse , cow . And the other : cow , horse , cat .
Before the meeting , Mary wrote down the following lists of words . One was : fly , ant , bee . And the other : fly , bee , ant .
Before the meeting , Mary wrote down the following lists of words . One was : butterfly , fly , ant . And the other : ant , butterfly , fly .
Before the meeting , Mary wrote down the following lists of words . One was : flea , butterfly , fly . And the other : butterfly , fly , flea .
Before the meeting , Mary wrote down the following lists of words . One was : moth , flea , butterfly . And the other : moth , flea , butterfly .
Before the meeting , Mary wrote down the following lists of words . One was : wasp , moth , flea . And the other : flea , wasp , moth .
Before the meeting , Mary wrote down the following lists of words . One was : beetle , wasp , moth . And the other : wasp , beetle , moth .
Before the meeting , Mary wrote down the following lists of words . One was : spider , beetle , wasp . And the other : beetle , wasp , spider .
Before the meeting , Mary wrote down the following lists of words . One was : mosquito , spider , beetle . And the other : mosquito , beetle , spider .
Before the meeting , Mary wrote down the following lists of words . One was : bee , mosquito , spider . And the other : mosquito , bee , spider .
Before the meeting , Mary wrote down the following lists of words . One was : ant , bee , mosquito . And the other : ant , bee , mosquito .
Before the meeting , Mary wrote down the following lists of words . One was : blue , red , green . And the other : green , red , blue .
Before the meeting , Mary wrote down the following lists of words . One was : blonde , blue , red . And the other : blonde , blue , red .
Before the meeting , Mary wrote down the following lists of words . One was : brown , blonde , blue . And the other : blonde , brown , blue .
Before the meeting , Mary wrote down the following lists of words . One was : pink , brown , blonde . And the other : pink , blonde , brown .
Before the meeting , Mary wrote down the following lists of words . One was : white , pink , brown . And the other : white , pink , brown .
Before the meeting , Mary wrote down the following lists of words . One was : purple , white , pink . And the other : pink , white , purple .
Before the meeting , Mary wrote down the following lists of words . One was : black , purple , white . And the other : white , black , purple .
Before the meeting , Mary wrote down the following lists of words . One was : yellow , black , purple . And the other : purple , black , yellow .
Before the meeting , Mary wrote down the following lists of words . One was : green , yellow , black . And the other : yellow , green , black .
Before the meeting , Mary wrote down the following lists of words . One was : red , green , yellow . And the other : green , red , yellow .
Before the meeting , Mary wrote down the following lists of words . One was : cotton , wool , silk . And the other : wool , silk , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : felt , cotton , wool . And the other : wool , felt , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : canvas , felt , cotton . And the other : canvas , felt , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : denim , canvas , felt . And the other : felt , denim , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : velvet , denim , canvas . And the other : canvas , denim , velvet .
Before the meeting , Mary wrote down the following lists of words . One was : satin , velvet , denim . And the other : denim , velvet , satin .
Before the meeting , Mary wrote down the following lists of words . One was : linen , satin , velvet . And the other : velvet , satin , linen .
Before the meeting , Mary wrote down the following lists of words . One was : rayon , linen , satin . And the other : satin , linen , rayon .
Before the meeting , Mary wrote down the following lists of words . One was : silk , rayon , linen . And the other : silk , rayon , linen .
Before the meeting , Mary wrote down the following lists of words . One was : wool , silk , rayon . And the other : rayon , wool , silk .
Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof , wall , floor . And the other : wall , door , window , roof , floor .
Before the meeting , Mary wrote down the following lists of words . One was : hall , window , door , roof , wall . And the other : door , roof , window , hall , wall .
Before the meeting , Mary wrote down the following lists of words . One was : hearth , hall , window , door , roof . And the other : window , hearth , hall , roof , door .
Before the meeting , Mary wrote down the following lists of words . One was : basement , hearth , hall , window , door . And the other : door , window , basement , hearth , hall .
Before the meeting , Mary wrote down the following lists of words . One was : room , basement , hearth , hall , window . And the other : hearth , basement , room , hall , window .
Before the meeting , Mary wrote down the following lists of words . One was : ceiling , room , basement , hearth , hall . And the other : basement , hearth , room , ceiling , hall .
Before the meeting , Mary wrote down the following lists of words . One was : floor , ceiling , room , basement , hearth . And the other : room , basement , floor , hearth , ceiling .
Before the meeting , Mary wrote down the following lists of words . One was : wall , floor , ceiling , room , basement . And the other : ceiling , room , floor , basement , wall .
Before the meeting , Mary wrote down the following lists of words . One was : roof , wall , floor , ceiling , room . And the other : wall , room , ceiling , floor , roof .
Before the meeting , Mary wrote down the following lists of words . One was : door , roof , wall , floor , ceiling . And the other : door , wall , ceiling , roof , floor .
Before the meeting , Mary wrote down the following lists of words . One was : leg , arms , head , eye , foot . And the other : arms , eye , foot , head , leg .
Before the meeting , Mary wrote down the following lists of words . One was : toe , leg , arms , head , eye . And the other : eye , leg , head , toe , arms .
Before the meeting , Mary wrote down the following lists of words . One was : hand , toe , leg , arms , head . And the other : head , arms , toe , hand , leg .
Before the meeting , Mary wrote down the following lists of words . One was : ear , hand , toe , leg , arms . And the other : leg , hand , arms , toe , ear .
Before the meeting , Mary wrote down the following lists of words . One was : finger , ear , hand , toe , leg . And the other : leg , toe , finger , hand , ear .
Before the meeting , Mary wrote down the following lists of words . One was : nose , finger , ear , hand , toe . And the other : nose , finger , toe , hand , ear .
Before the meeting , Mary wrote down the following lists of words . One was : foot , nose , finger , ear , hand . And the other : hand , ear , finger , foot , nose .
Before the meeting , Mary wrote down the following lists of words . One was : eye , foot , nose , finger , ear . And the other : nose , eye , finger , ear , foot .
Before the meeting , Mary wrote down the following lists of words . One was : head , eye , foot , nose , finger . And the other : head , foot , nose , finger , eye .
Before the meeting , Mary wrote down the following lists of words . One was : arms , head , eye , foot , nose . And the other : eye , foot , arms , head , nose .
Before the meeting , Mary wrote down the following lists of words . One was : sailboat , destroyer , battleship , cruiser , submarine . And the other : battleship , sailboat , submarine , cruiser , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : steamship , sailboat , destroyer , battleship , cruiser . And the other : destroyer , battleship , sailboat , steamship , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : tugboat , steamship , sailboat , destroyer , battleship . And the other : tugboat , steamship , destroyer , sailboat , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : freighter , tugboat , steamship , sailboat , destroyer . And the other : freighter , tugboat , sailboat , steamship , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : canoe , freighter , tugboat , steamship , sailboat . And the other : steamship , sailboat , canoe , tugboat , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : yacht , canoe , freighter , tugboat , steamship . And the other : yacht , canoe , tugboat , steamship , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : submarine , yacht , canoe , freighter , tugboat . And the other : yacht , canoe , freighter , submarine , tugboat .
Before the meeting , Mary wrote down the following lists of words . One was : cruiser , submarine , yacht , canoe , freighter . And the other : freighter , canoe , submarine , yacht , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : battleship , cruiser , submarine , yacht , canoe . And the other : submarine , cruiser , yacht , canoe , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : destroyer , battleship , cruiser , submarine , yacht . And the other : yacht , submarine , battleship , cruiser , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : robin , sparrow , heron , eagle , crow . And the other : eagle , robin , heron , crow , sparrow .
Before the meeting , Mary wrote down the following lists of words . One was : vulture , robin , sparrow , heron , eagle . And the other : heron , sparrow , robin , vulture , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : woodpecker , vulture , robin , sparrow , heron . And the other : heron , sparrow , woodpecker , vulture , robin .
Before the meeting , Mary wrote down the following lists of words . One was : pigeon , woodpecker , vulture , robin , sparrow . And the other : vulture , woodpecker , robin , sparrow , pigeon .
Before the meeting , Mary wrote down the following lists of words . One was : parrot , pigeon , woodpecker , vulture , robin . And the other : pigeon , robin , woodpecker , vulture , parrot .
